"","Accession","Gene_Name"
"839","Q9BRP8","PYM1"
"840","Q9H2Y7","ZNF106"
"841","Q9H672","ASB7"
"842","Q9H8Y5","ANKZF1"
"843","Q9HCC6","HES4"
"844","Q9HCE1","MOV10"
"845","Q9NQV7","PRDM9"
"846","Q9NWH9","SLTM"
"847","Q9NZB2","FAM120A"
"848","Q9UHD8","SEPTIN9"
"849","Q9ULE0","WWC3"
"850","Q9Y6G9","DYNC1LI1"
"851","A6NI56","CCDC154"
"852","A6NLW8","DUXA"
"853","B5MCY1","TDRD15"
"854","O00192","ARVCF"
"855","O00410","IPO5"
"856","O00451","GFRA2"
"857","O14827","RASGRF2"
"858","O14901","KLF11"
"859","O15078","CEP290"
"860","O15315","RAD51B"
"861","O43264","ZW10"
"862","O43293","DAPK3"
"863","O43708","GSTZ1"
"864","O60934","NBN"
"865","O75592","MYCBP2"
"866","O76021","RSL1D1"
"867","O94993","SOX30"
"868","O95816","BAG2"
"869","P01876","IGHA1"
"870","P06703","S100A6"
"871","P07477","PRSS1"
"872","P07478","PRSS2"
"873","P08579","SNRPB2"
"874","P09211","GSTP1"
"875","P09661","SNRPA1"
"876","P0C7T5","ATXN1L"
"877","P10745","RBP3"
"878","P10909","CLU"
"879","P11047","LAMC1"
"880","P12081","HARS1"
"881","P12270","TPR"
"882","P13682","ZNF35"
"883","P14678","SNRPB"
"884","P14923","JUP"
"885","P17096","HMGA1"
"886","P20839","IMPDH1"
"887","P26196","DDX6"
"888","P27815","PDE4A"
"889","P28799","GRN"
"890","P29966","MARCKS"
"891","P33176","KIF5B"
"892","P39687","ANP32A"
"893","P41250","GARS1"
"894","P47813","EIF1AX"
"895","P48163","ME1"
"896","P49642","PRIM1"
"897","P52907","CAPZA1"
"898","P55265","ADAR"
"899","P57740","NUP107"
"900","P61020","RAB5B"
"901","P61163","ACTR1A"
"902","P67870","CSNK2B"
"903","P78406","RAE1"
"904","P9WGP3","secA2"
"905","Q00722","PLCB2"
"906","Q00975","CACNA1B"
"907","Q01804","OTUD4"
"908","Q02978","SLC25A11"
"909","Q05655","PRKCD"
"910","Q08554","DSC1"
"911","Q13064","MKRN3"
"912","Q13085","ACACA"
"913","Q13111","CHAF1A"
"914","Q13201","MMRN1"
"915","Q13202","DUSP8"
"916","Q13409","DYNC1I2"
"917","Q13435","SF3B2"
"918","Q13895","BYSL"
"919","Q14324","MYBPC2"
"920","Q14683","SMC1A"
"921","Q15058","KIF14"
"922","Q15131","CDK10"
"923","Q15369","ELOC"
"924","Q15427","SF3B4"
"925","Q15746","MYLK"
"926","Q15751","HERC1"
"927","Q16585","SGCB"
"928","Q1KMD3","HNRNPUL2"
"929","Q2LD37","BLTP1"
"930","Q2NL82","TSR1"
"931","Q2TAZ0","ATG2A"
"932","Q3B7T1","EDRF1"
